T,P,vf,vfg,vg,uf,ufg,ug,hf,hfg,hg,sf,sfg,sg
130.0,2.698276881739052,0.0010696994407656684,0.6681058351755923,0.6691755346163579,546.0077745180952,1993.9187700486054,2539.9265445667006,546.2964090452533,2174.192223007316,2720.4886320525693,1.6343652348169901,5.393010599245434,7.027375834062424
140.0,3.6094660938006116,0.0010797411505953098,0.5082818472060331,0.5093615883566284,588.7277113290929,1961.3243451518592,2550.052056480952,589.117440236445,2144.786954507077,2733.904394743522,1.739044397951313,5.191303290811852,6.930347688763165
150.0,4.75392132343788,0.001090488669291146,0.39208813670096976,0.3931786253702609,631.6691158106496,1927.903687071197,2559.5728028818467,632.1875255444593,2114.2993024430525,2746.486827987512,1.8417526601798584,4.996571670875077,6.838324331054935
160.0,6.172329708734195,0.0011019808983808036,0.30627409305930253,0.30737607395768335,674.8578382802934,1893.560256821911,2568.4180951022045,675.5380172239929,2082.602725184961,2758.140742408954,1.94264355057889,4.808040460037361,6.750684010616251
170.0,7.908971736334435,0.0011142643578096031,0.24196783029973767,0.24308209465754727,718.320203902007,1858.1895537220007,2576.5097576240078,719.2014724331202,2049.561226822336,2768.762699255456,2.0418614592017357,4.624983023568651,6.6668444827703865
180.0,10.011653363021919,0.001127395131356864,0.19312523381437996,0.19425262894573683,762.0840919115562,1821.6783668766566,2583.762458788213,763.2128008371092,2015.0286565451443,2778.2414573822534,2.1395449312397115,4.446714457929658,6.586259389169369
190.0,12.531630404773788,0.001141441367209235,0.15556147782813362,0.15670291919534285,806.1804698789965,1783.9037422273577,2590.0842121063542,807.6108820128993,1978.8476367719722,2786.4585187848716,2.235830615041206,4.272584771313888,6.508415386355093
200.0,15.523532136137353,0.0011564863884355346,0.12633491744825895,0.1274914038366945,850.6452712497066,1744.731593064722,2595.3768643144285,852.4405466109583,1940.8480081633716,2793.28855477433,2.330857548343167,4.101971907902904,6.43282945624607
210.0,19.045290889700293,0.0011726325360293147,0.10334827484835267,0.10452090738438198,895.521518141406,1704.014825405482,2599.536343546888,897.7548309167614,1900.844621151482,2798.5994520682434,2.424771544655346,3.9342742858577067,6.359045830513052
220.0,23.15808511569298,0.0011900059563597176,0.08508624490329929,0.08627625085965901,940.8616258477814,1661.5907696939994,2602.452395541781,943.6174517704749,1858.6342198564835,2802.2516716269583,2.517729550302246,3.768902402792186,6.286631953094432
230.0,27.92630521303772,0.0012087626678118574,0.07044019779915199,0.07164896046696385,986.7298735356217,1617.277604662946,2604.0074781985677,990.1055010553737,1813.991050957251,2804.0965520126247,2.6099039628071004,3.605268907962601,6.215172870769701
240.0,33.4175547290887,0.0012290964211814843,0.05858937266978643,0.05981846909096791,1033.2050842930057,1570.86931877379,2604.0744030667956,1037.3124239864155,1766.660675537758,2803.9730995241734,2.701487026333677,3.4427763336698813,6.144263360003558
250.0,39.70270480361427,0.001251249147526309,0.04891925704168428,0.05017050618921059,1080.383631460656,1522.1285558158452,2602.512187276501,1085.3514290164785,1716.3512379580188,2801.7026669744973,2.7926955593942995,3.2808013725328395,6.073496931927139
260.0,46.85602733905244,0.0012755252454847816,0.04096478558113241,0.042240310826617194,1128.3829936439397,1470.7763877722991,2599.159381416239,1134.3595982237948,1662.7210990726253,2797.08069729642,2.883776456220239,3.118674105127252,6.002450561347491
270.0,54.955443500153955,0.0013023117518846878,0.03437031806870488,0.035672629820589566,1177.3462554482521,1416.4775544666045,2593.8238099148566,1184.503167441324,1605.361161724999,2789.864329166323,2.9750137041265643,2.95564975012001,5.930663454246574
280.0,64.08294033705181,0.001332107875919381,0.028861093181481175,0.030193201057400556,1227.4482721395925,1358.8188173321978,2586.2670894717903,1235.9848110965959,1543.769188561937,2779.753999658533,3.0667382094114344,2.790869002299824,5.857607211711258
290.0,74.32523301491717,0.0013655701176686036,0.024222606123263143,0.025588176240931747,1278.9048438027094,1297.276401210922,2576.1812450136313,1289.054475525907,1477.3114856351076,2766.3659611610146,3.1593427954427242,2.6233001610304285,5.782642956473152
300.0,85.7747888179316,0.0014035847232868682,0.020285486474527614,0.02168907119781448,1331.98752352685,1231.1651926603572,2563.1527161872073,1344.0267418534568,1405.1635244947593,2749.190266348216,3.2533069112918542,2.4516505705867404,5.704957481878594
320.0,112.70456804139722,0.001498808444094533,0.013998073516761916,0.015496881960856449,1444.573625944684,1081.1267729086449,2525.700398853329,1461.4658817734562,1238.8914558180877,2700.357337591544,3.4479649069074134,2.0886646815035563,5.536629588410969
340.0,145.8124877865483,0.0016379540455922611,0.009168809490052814,0.010806763535645076,1570.3082947364146,894.5900035702161,2464.8982983066307,1594.1917101612835,1028.2826957502039,2622.4744059114873,3.6593594898305484,1.6770491653967596,5.336408655227308
360.0,186.3991034817008,0.0018931477066441548,0.005074098529194637,0.006967246235838792,1725.4320767698846,627.5460184301137,2352.9780951999983,1760.7201803006938,722.1267601118107,2482.8469404125044,3.914974928298679,1.1405303012274564,5.055505229526135
370.0,210.17477796879857,0.0022170364762920045,0.0027467535603266716,0.004963790036618676,1844.8706908262484,387.40052535927316,2232.2712161855216,1891.467205757359,445.13035732745266,2336.5975630848116,4.11214504028643,0.6921097062603669,4.804254746546796
371.0,212.71074815678156,0.0022850160913961003,0.002425813014564094,0.004710829105960194,1863.6497574509194,347.25047105686644,2210.900228507786,1912.2545057158113,398.8501211763705,2311.104626892182,4.143553939235808,0.6191882657907604,4.7627422050265675
372.0,215.28045002969637,0.00237647608749439,0.0020470357050007843,0.004423511792495174,1886.671146340008,297.6209983654062,2184.292144705414,1937.8320305610596,341.68967513674033,2279.5217056978,4.182301210614142,0.5296282652027458,4.711929475816888
373.0,217.88623504343792,0.0025195329670256506,0.0015467844864608788,0.004066317453486529,1918.677969160346,228.63270503012973,2147.3106741904758,1973.5751245343145,262.3350098237479,2235.9101343580624,4.236672617001638,0.4059970747395578,4.642669691741196
374.13599999999997,220.89,0.003255910328794902,1.8244671463711615e-09,0.0032559121532620486,2044.6591827139655,0.00026731544130598195,2044.6594500294068,2116.5789859646684,0.0003075860768149141,2116.579293550745,4.456452309252715,4.7523984303410316e-07,4.4564527844925585
